review_row_id,candidate_id,mention_id,entry_id,lemma,author,work,book,chapter,candidate_place,pleiades_options_json,proposed_relation,certainty,greek_evidence_phrase,context_window,review_decision,accepted_pleiades_id,reviewer_notes
review-326329d832d9,candidate-4ecee2b1ce32,mention-2edb87906bfd,dsc:16,σχοῖνος,dsc,De materia medica,1,17,Ἀραβίᾳ,"[{""pleiades_id"":""981506"",""pleiades_uri"":""https://pleiades.stoa.org/places/981506"",""title"":""Arabia (province)"",""feature_types"":[""province-2""],""coordinates"":{""lat"":27.5,""lon"":32.5},""location_precision"":""rough""}]",grows_at,possible,"σχοῖνος· ἡ μέν τις γίνεται ἐν Λιβύῃ ἡ δὲ ἐν Ἀραβίᾳ, ἑτέρα δὲ ἐν τῇ Ναβαταίᾳ καλουμένῃ, ἥτις ἐστὶ κρατίστη· δευτερεύει δὲ ἡ Ἀραβική, ἣν ἔνιοι…","σχοῖνος· ἡ μέν τις γίνεται ἐν Λιβύῃ ἡ δὲ ἐν Ἀραβίᾳ, ἑτέρα δὲ ἐν τῇ Ναβαταίᾳ καλουμένῃ, ἥτις ἐστὶ κρατίστη· δευτερεύει δὲ ἡ Ἀραβική, ἣν ἔνιοι…",,,
review-d3df4f2c7f98,candidate-c087d2113aa2,mention-90951a0d4614,dsc:18,βάλσαμον,dsc,De materia medica,1,19,Ἰουδαίᾳ,"[{""pleiades_id"":""687934"",""pleiades_uri"":""https://pleiades.stoa.org/places/687934"",""title"":""Iudaea (region)"",""feature_types"":[""region""],""coordinates"":{""lat"":31.73416715,""lon"":35.0017203},""location_precision"":""related""}]",grows_at,possible,"…λέπεται, φύλλα ἔχον ὅμοια πηγάνῳ, λευκότερα δὲ πολλῷ καὶ ἀειθαλέστερα, γεννώμενον ἐν μόνῃ Ἰουδαίᾳ κατά τινα αὐλῶνα, διαφέρον αὐτὸ ἑαυτοῦ τραχύτητι καὶ μήκει καὶ ἰσχνότητι. λέγεται γοῦν τὸ…","…λέπεται, φύλλα ἔχον ὅμοια πηγάνῳ, λευκότερα δὲ πολλῷ καὶ ἀειθαλέστερα, γεννώμενον ἐν μόνῃ Ἰουδαίᾳ κατά τινα αὐλῶνα, διαφέρον αὐτὸ ἑαυτοῦ τραχύτητι καὶ μήκει καὶ ἰσχνότητι. λέγεται γοῦν τὸ…",,,
review-b05ddc1f2a2c,candidate-1b2ad4e940fa,mention-742a09c61367,dsc:319,ἀγαρικόν,dsc,De materia medica,3,1,Γαλατίᾳ,"[{""pleiades_id"":""619161"",""pleiades_uri"":""https://pleiades.stoa.org/places/619161"",""title"":""Galatia"",""feature_types"":[""province"",""region"",""label""],""coordinates"":{""lat"":39.9338119976,""lon"":32.4274370108},""location_precision"":""precise""}]",grows_at,possible,"…κατὰ σῆψιν γίνεσθαι, καθάπερ καὶ οἱ μύκητες ἐπιφύονται. γεννᾶται δὲ καὶ ἐν τῇ κατὰ Ἀσίαν Γαλατίᾳ καὶ Κιλικίᾳ ἐπὶ τῶν κέδρων, εὔθρυπτον μέντοι καὶ ἀσθενὲς τῇ δυνάμει. 3 ἐστι δὲ στυπτικόν,…","…κατὰ σῆψιν γίνεσθαι, καθάπερ καὶ οἱ μύκητες ἐπιφύονται. γεννᾶται δὲ καὶ ἐν τῇ κατὰ Ἀσίαν Γαλατίᾳ καὶ Κιλικίᾳ ἐπὶ τῶν κέδρων, εὔθρυπτον μέντοι καὶ ἀσθενὲς τῇ δυνάμει. 3 ἐστι δὲ στυπτικόν,…",,,
review-1df26216b50a,candidate-f59a5a03dbc0,mention-14a7db22a1e0,dsc:341,ἁβρότονον,dsc,De materia medica,3,24,Γαλατίᾳ,"[{""pleiades_id"":""619161"",""pleiades_uri"":""https://pleiades.stoa.org/places/619161"",""title"":""Galatia"",""feature_types"":[""province"",""region"",""label""],""coordinates"":{""lat"":39.9338119976,""lon"":32.4274370108},""location_precision"":""precise""}]",grows_at,possible,"…εν καλεῖται, κληματῶδες, λεπτόκαρπον ὡς ἀψίνθιον. 2 πλεῖστον δὲ γίνεται ἐν Καππαδοκίᾳ καὶ Γαλατίᾳ τῇ κατὰ τὴν Ἀσίαν καὶ Ἱεραπόλει τῇ κατὰ τὴν Συρίαν. τούτων ὁ καρπὸς ἀπεζεσμένος μεθʼ ὕδατ…","…εν καλεῖται, κληματῶδες, λεπτόκαρπον ὡς ἀψίνθιον. 2 πλεῖστον δὲ γίνεται ἐν Καππαδοκίᾳ καὶ Γαλατίᾳ τῇ κατὰ τὴν Ἀσίαν καὶ Ἱεραπόλει τῇ κατὰ τὴν Συρίαν. τούτων ὁ καρπὸς ἀπεζεσμένος μεθʼ ὕδατ…",,,
review-42092963f839,candidate-31f977e598ec,mention-7d7dd0a6ee62,dsc:5,καρδάμωμον,dsc,De materia medica,1,6,Ἀραβίᾳ,"[{""pleiades_id"":""981506"",""pleiades_uri"":""https://pleiades.stoa.org/places/981506"",""title"":""Arabia (province)"",""feature_types"":[""province-2""],""coordinates"":{""lat"":27.5,""lon"":32.5},""location_precision"":""rough""}]",acquired,possible,"…τὸ ἐκ τῆς Κομμαγηνῆς καὶ Ἀρμενίας καὶ βοσπόρου κομιζόμενον· γεννᾶται δὲ καὶ ἐν Ἰνδίᾳ καὶ Ἀραβίᾳ. ἐκλέγου δὲ τὸ δύσθραυστον, πλῆρες, μεμυκός — τὸ γὰρ μὴ τοιοῦτον ἔξωρόν ἐστι — καὶ τὸ τῇ…","…τὸ ἐκ τῆς Κομμαγηνῆς καὶ Ἀρμενίας καὶ βοσπόρου κομιζόμενον· γεννᾶται δὲ καὶ ἐν Ἰνδίᾳ καὶ Ἀραβίᾳ. ἐκλέγου δὲ τὸ δύσθραυστον, πλῆρες, μεμυκός — τὸ γὰρ μὴ τοιοῦτον ἔξωρόν ἐστι — καὶ τὸ τῇ…",,,
